[11, 8, 12, 5, 1, 9, 2, 10, 11, 8, 3, 7, 13, 13, 1, 4, 13, 7, 13, 9, 6, 3, 5, 11, 4, 10, 12, 0, 0, 1, 11, 5, 6, 14, 7, 4, 3, 4, 0, 6, 9, 2, 8, 10, 3, 7, 12, 11, 14, 3, 8, 10, 2, 4, 13, 14, 5, 1, 9, 13, 14, 6, 11, 7, 1, 4, 12, 2, 0, 8, 3, 10, 9, 13, 14, 12, 11, 8, 0, 10, 9, 6, 5, 7, 12, 5, 0, 1, 3, 2, 8, 3, 4, 9, 13, 1, 7, 0, 12, 5, 10, 14, 2, 11, 12, 12, 6, 9, 10, 3, 8, 7, 4, 13, 1, 4, 6, 7, 14, 5, 2, 0, 12, 10, 3, 7, 6, 9, 11, 9, 5, 2, 14, 12, 4, 13, 11, 10, 12, 1, 14, 5, 6, 1, 7, 8, 9, 4, 0, 2, 2, 11, 14, 5, 10, 6, 13, 6, 1, 9, 8, 0, 2, 7, 13, 14, 12, 4, 9, 13, 4, 0, 1, 2, 7, 5, 10, 6, 3, 14, 13, 0, 0, 1, 2, 11, 8, 11, 4, 9, 3, 10, 6, 5, 2, 4, 6, 12, 7, 8, 5, 0, 3, 11, 8, 2, 11, 1, 14, 10, 3, 14, 12, 10, 6, 3, 0, 8, 5, 14, 9, 8, 1, 13, 7]
1406
Iteration 1/10000, Best C_max: 1587, Current Iteration Best: 1610, counter: 2, critical: True
Iteration 2/10000, Best C_max: 1557, Current Iteration Best: 1557, counter: 1, critical: True
Iteration 3/10000, Best C_max: 1557, Current Iteration Best: 1615, counter: 2, critical: True
Iteration 4/10000, Best C_max: 1557, Current Iteration Best: 1567, counter: 3, critical: True
Iteration 5/10000, Best C_max: 1557, Current Iteration Best: 1606, counter: 4, critical: True
Iteration 6/10000, Best C_max: 1557, Current Iteration Best: 1633, counter: 5, critical: True
Iteration 7/10000, Best C_max: 1557, Current Iteration Best: 1655, counter: 6, critical: True
Iteration 8/10000, Best C_max: 1557, Current Iteration Best: 1605, counter: 7, critical: True
Iteration 9/10000, Best C_max: 1557, Current Iteration Best: 1623, counter: 8, critical: True
Iteration 10/10000, Best C_max: 1557, Current Iteration Best: 1594, counter: 9, critical: True
Iteration 11/10000, Best C_max: 1557, Current Iteration Best: 1572, counter: 10, critical: True
Iteration 12/10000, Best C_max: 1557, Current Iteration Best: 1621, counter: 1, critical: False
Iteration 13/10000, Best C_max: 1557, Current Iteration Best: 2089, counter: 2, critical: False
Iteration 14/10000, Best C_max: 1557, Current Iteration Best: 1981, counter: 3, critical: False
Iteration 15/10000, Best C_max: 1557, Current Iteration Best: 2076, counter: 4, critical: False
Iteration 16/10000, Best C_max: 1557, Current Iteration Best: 1901, counter: 5, critical: False
Iteration 17/10000, Best C_max: 1557, Current Iteration Best: 1823, counter: 6, critical: False
Iteration 18/10000, Best C_max: 1557, Current Iteration Best: 1756, counter: 7, critical: False
Iteration 19/10000, Best C_max: 1557, Current Iteration Best: 1927, counter: 8, critical: False
Iteration 20/10000, Best C_max: 1557, Current Iteration Best: 1976, counter: 9, critical: False
Iteration 21/10000, Best C_max: 1557, Current Iteration Best: 1947, counter: 10, critical: False
Iteration 22/10000, Best C_max: 1557, Current Iteration Best: 1677, counter: 1, critical: True
Iteration 23/10000, Best C_max: 1557, Current Iteration Best: 1620, counter: 2, critical: True
Iteration 24/10000, Best C_max: 1557, Current Iteration Best: 1752, counter: 3, critical: True
Iteration 25/10000, Best C_max: 1557, Current Iteration Best: 1853, counter: 4, critical: True
Iteration 26/10000, Best C_max: 1557, Current Iteration Best: 1767, counter: 5, critical: True
Iteration 27/10000, Best C_max: 1557, Current Iteration Best: 1691, counter: 6, critical: True
Iteration 28/10000, Best C_max: 1557, Current Iteration Best: 1733, counter: 7, critical: True
Iteration 29/10000, Best C_max: 1557, Current Iteration Best: 1753, counter: 8, critical: True
